cat_code,cat_l1_code,cat_l1,cat_l2_code,cat_l2,cat_l3_code,cat_l3,cat_l4_code,cat_l4,cat_l5
011000,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,곡물 및 기타 식량작물 재배업,곡물 및 기타 식량작물 재배업
011001,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,"채소, 화훼작물 및 종묘 재배업",채소작물 재배업
011002,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,"채소, 화훼작물 및 종묘 재배업",화훼작물 재배업
011003,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,"채소, 화훼작물 및 종묘 재배업",종자 및 묘목 생산업
011004,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,"과실, 음료용 및 향신용 작물 재배업",과실작물 재배업
011005,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,"과실, 음료용 및 향신용 작물 재배업",음료용 및 향신용 작물 재배업
011006,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,기타 작물 재배업,기타 작물 재배업
011007,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,시설작물 재배업,콩나물 재배업
011008,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,시설작물 재배업,"채소, 화훼 및 과실작물 시설 재배업"
011009,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,시설작물 재배업,기타 시설작물 재배업
012101,A,"농업, 임업 및 어업",01,농업,012,축산업,0121,소 사육업,육우 사육업
012102,A,"농업, 임업 및 어업",01,농업,012,축산업,0121,기타 축산업,말 및 양 사육업
012103,A,"농업, 임업 및 어업",01,농업,012,축산업,0121,기타 축산업,"그 외 기타 축산업(사슴, 토끼, 개)"
012104,A,"농업, 임업 및 어업",01,농업,012,축산업,0121,소 사육업,젖소 사육업
012201,A,"농업, 임업 및 어업",01,농업,012,축산업,0122,양돈업,양돈업
012202,A,"농업, 임업 및 어업",01,농업,012,축산업,0122,가금류 및 조류 사육업,양계업
012203,A,"농업, 임업 및 어업",01,농업,012,축산업,0122,가금류 및 조류 사육업,기타 가금류 및 조류 사육업
012204,A,"농업, 임업 및 어업",01,농업,012,축산업,0122,기타 축산업,그 외 기타 축산업
014300,A,"농업, 임업 및 어업",01,농업,014,작물재배 및 축산 관련 서비스업,0143,축산 관련 서비스업,축산 관련 서비스업
014301,A,"농업, 임업 및 어업",01,농업,014,작물재배 및 축산 복합농업,0143,작물재배 및 축산 복합농업,작물재배 및 축산 복합농업
014302,A,"농업, 임업 및 어업",01,농업,014,작물재배 및 축산 관련 서비스업,0143,작물재배 관련 서비스업,작물재배 지원 서비스업
014303,A,"농업, 임업 및 어업",01,농업,014,작물재배 및 축산 관련 서비스업,0143,작물재배 관련 서비스업,"농산물 건조, 선별 및 기타 수확 후 서비스업"
015000,A,"농업, 임업 및 어업",01,농업,015,수렵 및 관련 서비스업,0150,수렵 및 관련 서비스업,수렵 및 관련 서비스업
020100,A,"농업, 임업 및 어업",02,임업,020,임업,0201,영림업,임업용 종묘 생산업
020101,A,"농업, 임업 및 어업",02,임업,020,임업,0201,영림업,육림업
020102,A,"농업, 임업 및 어업",02,임업,020,임업,0201,임산물 채취업,임산물 채취업
020200,A,"농업, 임업 및 어업",02,임업,020,임업,0202,벌목업,벌목업
020300,A,"농업, 임업 및 어업",02,임업,020,임업,0203,임업 관련 서비스업,임업 관련 서비스업
051102,A,"농업, 임업 및 어업",05,어업,051,어로 어업,0511,해수면 어업,연근해 어업
051104,A,"농업, 임업 및 어업",05,어업,051,어로 어업,0511,해수면 어업,원양 어업
051200,A,"농업, 임업 및 어업",05,어업,051,어로 어업,0512,내수면 어업,내수면 어업
052101,A,"농업, 임업 및 어업",05,어업,052,양식어업 및 어업관련 서비스업,0521,양식 어업,해수면 양식 어업
052103,A,"농업, 임업 및 어업",05,어업,052,양식어업 및 어업관련 서비스업,0521,양식 어업,내수면 양식 어업
052104,A,"농업, 임업 및 어업",05,어업,052,양식어업 및 어업관련 서비스업,0521,양식 어업,수산물 부화 및 수산 종자 생산업
052200,A,"농업, 임업 및 어업",05,어업,052,양식어업 및 어업관련 서비스업,0522,어업 관련 서비스업,어업 관련 서비스업
101000,B,광업,10,"석탄, 원유 및 천연가스 광업",101,석탄 광업,1010,석탄 광업,석탄 광업
101001,B,광업,10,비금속광물 광업; 연료용 제외,101,기타 비금속광물 광업,1010,그 외 기타 비금속광물 광업,그 외 기타 비금속광물 광업
131000,B,광업,13,금속 광업,131,철 광업,1310,철 광업,철 광업
131003,B,광업,13,금속 광업,131,비철금속 광업,1310,비철금속 광업,비철금속 광업
132002,B,광업,13,금속 광업,132,비철금속 광업,1320,비철금속 광업,비철금속 광업
132003,B,광업,13,금속 광업,132,비철금속 광업,1320,비철금속 광업,비철금속 광업
141001,B,광업,14,비금속광물 광업; 연료용 제외,141,토사석 광업,1410,"석재, 쇄석 및 모래, 자갈 채취업",건설용 석재 채굴 및 쇄석 생산업
141002,B,광업,14,비금속광물 광업; 연료용 제외,141,토사석 광업,1410,석회석 및 점토 광업,석회석 및 점토 광업
141003,B,광업,14,비금속광물 광업; 연료용 제외,141,토사석 광업,1410,"석재, 쇄석 및 모래, 자갈 채취업",건설용 석재 채굴 및 쇄석 생산업
141004,B,광업,14,비금속광물 광업; 연료용 제외,141,토사석 광업,1410,"석재, 쇄석 및 모래, 자갈 채취업",모래 및 자갈 채취업
141006,B,광업,14,비금속광물 광업; 연료용 제외,141,토사석 광업,1410,"석재, 쇄석 및 모래, 자갈 채취업",모래 및 자갈 채취업
142101,B,광업,14,비금속광물 광업; 연료용 제외,142,기타 비금속광물 광업,1421,그 외 기타 비금속광물 광업,그 외 기타 비금속광물 광업
142102,B,광업,14,비금속광물 광업; 연료용 제외,142,기타 비금속광물 광업,1421,화학용 및 비료 원료용 광물 광업,화학용 및 비료 원료용 광물 광업
142104,B,광업,14,비금속광물 광업; 연료용 제외,142,기타 비금속광물 광업,1421,화학용 및 비료 원료용 광물 광업,화학용 및 비료 원료용 광물 광업
142200,B,광업,14,비금속광물 광업; 연료용 제외,142,기타 비금속광물 광업,1422,천일염 생산 및 암염 채취업,천일염 생산 및 암염 채취업
142902,B,광업,14,비금속광물 광업; 연료용 제외,142,기타 비금속광물 광업,1429,그 외 기타 비금속광물 광업,그 외 기타 비금속광물 광업
142909,B,광업,14,"석탄, 원유 및 천연가스 광업",142,원유 및 천연가스 채굴업,1429,원유 및 천연가스 채굴업,원유 및 천연가스 채굴업
142910,B,광업,14,광업 지원 서비스업,142,광업 지원 서비스업,1429,광업 지원 서비스업,광업 지원 서비스업
143101,B,광업,14,금속 광업,143,비철금속 광업,1431,비철금속 광업,비철금속 광업(조광권자)
143103,B,광업,14,금속 광업,143,철 광업,1431,철 광업,철 광업(조광권자)
143106,B,광업,14,"석탄, 원유 및 천연가스 광업",143,석탄 광업,1431,석탄 광업,석탄 광업(조광권자)
143107,B,광업,14,비금속광물 광업; 연료용 제외,143,기타 비금속광물 광업,1431,그 외 기타 비금속광물 광업,그 외 기타 비금속광물 광업
143107,B,광업,14,비금속광물 광업; 연료용 제외,143,기타 비금속광물 광업,1431,화학용 및 비료 원료용 광물 광업,화학용 및 비료 원료용 광물 광업
143107,B,광업,14,비금속광물 광업; 연료용 제외,143,토사석 광업,1431,석회석 및 점토 광업,석회석 및 점토 광업
143107,B,광업,14,비금속광물 광업; 연료용 제외,143,토사석 광업,1431,"석재, 쇄석 및 모래, 자갈 채취업",건설용 석재 채굴 및 쇄석 생산업
143107,B,광업,14,비금속광물 광업; 연료용 제외,143,토사석 광업,1431,"석재, 쇄석 및 모래, 자갈 채취업",모래 및 자갈 채취업
151101,C,제조업,15,식료품 제조업,151,"도축, 육류 가공 및 저장 처리업",1511,도축업,육류 도축업(가금류 제외)
151102,C,제조업,15,식료품 제조업,151,"도축, 육류 가공 및 저장 처리업",1511,육류 가공 및 저장 처리업,가금류 가공 및 저장 처리업
151103,C,제조업,15,식료품 제조업,151,"도축, 육류 가공 및 저장 처리업",1511,도축업,가금류 도축업
151104,C,제조업,15,식료품 제조업,151,"도축, 육류 가공 및 저장 처리업",1511,육류 가공 및 저장 처리업,육류 포장육 및 냉동육 가공업(가금류 제외)
151105,C,제조업,15,식료품 제조업,151,"도축, 육류 가공 및 저장 처리업",1511,육류 가공 및 저장 처리업,육류 기타 가공 및 저장 처리업(가금류 제외)
151200,C,제조업,15,식료품 제조업,151,수산물 가공 및 저장 처리업,1512,수산동물 가공 및 저장 처리업,수산동물 건조 및 염장품 제조업
151201,C,제조업,15,식료품 제조업,151,수산물 가공 및 저장 처리업,1512,수산동물 가공 및 저장 처리업,"수산동물 훈제, 조리 및 유사 조제식품 제조업"
151202,C,제조업,15,식료품 제조업,151,수산물 가공 및 저장 처리업,1512,수산동물 가공 및 저장 처리업,수산동물 냉동품 제조업
151203,C,제조업,15,식료품 제조업,151,수산물 가공 및 저장 처리업,1512,수산동물 가공 및 저장 처리업,기타 수산동물 가공 및 저장 처리업
151301,C,제조업,15,식료품 제조업,151,"과실, 채소 가공 및 저장 처리업",1513,"과실, 채소 가공 및 저장 처리업",김치류 제조업
151302,C,제조업,15,식료품 제조업,151,"과실, 채소 가공 및 저장 처리업",1513,"과실, 채소 가공 및 저장 처리업",기타 과실ㆍ채소 가공 및 저장 처리업
151304,C,제조업,15,식료품 제조업,151,"과실, 채소 가공 및 저장 처리업",1513,"과실, 채소 가공 및 저장 처리업",과실 및 그 외 채소 절임식품 제조업
151400,C,제조업,15,식료품 제조업,151,동물성 및 식물성 유지 제조업,1514,동물성 및 식물성 유지 제조업,식물성 유지 제조업
151401,C,제조업,15,식료품 제조업,151,동물성 및 식물성 유지 제조업,1514,동물성 및 식물성 유지 제조업,동물성 유지 제조업
151402,C,제조업,15,식료품 제조업,151,동물성 및 식물성 유지 제조업,1514,동물성 및 식물성 유지 제조업,식용 정제유 및 가공유 제조업
152001,C,제조업,15,식료품 제조업,152,낙농제품 및 식용 빙과류 제조업,1520,낙농제품 및 식용 빙과류 제조업,액상 시유 및 기타 낙농제품 제조업(분유 및 조제분유)
152002,C,제조업,15,식료품 제조업,152,낙농제품 및 식용 빙과류 제조업,1520,낙농제품 및 식용 빙과류 제조업,액상 시유 및 기타 낙농제품 제조업
152003,C,제조업,15,식료품 제조업,152,낙농제품 및 식용 빙과류 제조업,1520,낙농제품 및 식용 빙과류 제조업,아이스크림 및 기타 식용 빙과류 제조업
153101,C,제조업,15,식료품 제조업,153,"곡물 가공품, 전분 및 전분제품 제조업",1531,곡물 가공품 제조업,기타 곡물 가공품 제조업
153102,C,제조업,15,식료품 제조업,153,"곡물 가공품, 전분 및 전분제품 제조업",1531,곡물 가공품 제조업,곡물 도정업
153103,C,제조업,15,식료품 제조업,153,"곡물 가공품, 전분 및 전분제품 제조업",1531,곡물 가공품 제조업,곡물 제분업
153104,C,제조업,15,식료품 제조업,153,동물용 사료 및 조제식품 제조업,1531,동물용 사료 및 조제식품 제조업,단미사료 및 기타 사료 제조업
153105,C,제조업,15,식료품 제조업,153,"곡물 가공품, 전분 및 전분제품 제조업",1531,전분제품 및 당류 제조업,전분제품 및 당류 제조업
153106,C,제조업,15,식료품 제조업,153,"곡물 가공품, 전분 및 전분제품 제조업",1531,곡물 가공품 제조업,곡물 혼합 분말 및 반죽 제조업
153107,C,제조업,15,식료품 제조업,153,기타 식품 제조업,1531,도시락 및 식사용 조리식품 제조업,도시락류 제조업
153202,C,제조업,15,식료품 제조업,153,"곡물 가공품, 전분 및 전분제품 제조업",1532,전분제품 및 당류 제조업,전분제품 및 당류 제조업
153300,C,제조업,15,식료품 제조업,153,동물용 사료 및 조제식품 제조업,1533,동물용 사료 및 조제식품 제조업,배합 사료 제조업
153301,C,제조업,15,식료품 제조업,153,동물용 사료 및 조제식품 제조업,1533,동물용 사료 및 조제식품 제조업,단미사료 및 기타 사료 제조업
154101,C,제조업,15,식료품 제조업,154,기타 식품 제조업,1541,"떡, 빵 및 과자류 제조업",떡류 제조업
154102,C,제조업,15,식료품 제조업,154,기타 식품 제조업,1541,"떡, 빵 및 과자류 제조업",과자류 및 코코아 제품 제조업
154103,C,제조업,15,식료품 제조업,154,기타 식품 제조업,1541,도시락 및 식사용 조리식품 제조업,기타 식사용 가공처리 조리식품 제조업
154104,C,제조업,15,식료품 제조업,154,기타 식품 제조업,1541,"떡, 빵 및 과자류 제조업",빵류 제조업
154200,C,제조업,15,식료품 제조업,154,기타 식품 제조업,1542,설탕 제조업,설탕 제조업
154400,C,제조업,15,식료품 제조업,154,기타 식품 제조업,1544,"면류, 마카로니 및 유사 식품 제조업","면류, 마카로니 및 유사 식품 제조업"
154501,C,제조업,15,식료품 제조업,154,기타 식품 제조업,1545,조미료 및 식품 첨가물 제조업,천연 및 혼합 조제 조미료 제조업
154502,C,제조업,15,식료품 제조업,154,기타 식품 제조업,1545,조미료 및 식품 첨가물 제조업,장류 제조업
154503,C,제조업,15,식료품 제조업,154,기타 식품 제조업,1545,조미료 및 식품 첨가물 제조업,"식초, 발효 및 화학 조미료 제조업"
154509,C,제조업,15,식료품 제조업,154,기타 식품 제조업,1545,조미료 및 식품 첨가물 제조업,기타 식품 첨가물 제조업
154801,C,제조업,15,식료품 제조업,154,"곡물 가공품, 전분 및 전분제품 제조업",1548,곡물 가공품 제조업,곡물 도정업
154802,C,제조업,15,식료품 제조업,154,"곡물 가공품, 전분 및 전분제품 제조업",1548,곡물 가공품 제조업,곡물 제분업
154803,C,제조업,15,식료품 제조업,154,"도축, 육류 가공 및 저장 처리업",1548,도축업,가금류 도축업
154803,C,제조업,15,식료품 제조업,154,"도축, 육류 가공 및 저장 처리업",1548,도축업,육류 도축업(가금류 제외)
154804,C,제조업,15,식료품 제조업,154,"도축, 육류 가공 및 저장 처리업",1548,육류 가공 및 저장 처리업,가금류 가공 및 저장 처리업
154804,C,제조업,15,식료품 제조업,154,"도축, 육류 가공 및 저장 처리업",1548,육류 가공 및 저장 처리업,육류 포장육 및 냉동육 가공업(가금류 제외)
154804,C,제조업,15,식료품 제조업,154,수산물 가공 및 저장 처리업,1548,수산동물 가공 및 저장 처리업,수산동물 냉동품 제조업
154804,C,제조업,15,식료품 제조업,154,"과실, 채소 가공 및 저장 처리업",1548,"과실, 채소 가공 및 저장 처리업",기타 과실ㆍ채소 가공 및 저장 처리업
154805,C,제조업,15,식료품 제조업,154,"과실, 채소 가공 및 저장 처리업",1548,"과실, 채소 가공 및 저장 처리업",기타 과실ㆍ채소 가공 및 저장 처리업
154805,C,제조업,15,식료품 제조업,154,수산물 가공 및 저장 처리업,1548,수산식물 가공 및 저장 처리업,수산식물 가공 및 저장 처리업
154805,C,제조업,15,식료품 제조업,154,기타 식품 제조업,1548,기타 식료품 제조업,건강 보조용 액화식품 제조업
154805,C,제조업,15,식료품 제조업,154,"곡물 가공품, 전분 및 전분제품 제조업",1548,곡물 가공품 제조업,기타 곡물 가공품 제조업
154805,C,제조업,15,식료품 제조업,154,동물성 및 식물성 유지 제조업,1548,동물성 및 식물성 유지 제조업,동물성 유지 제조업
154805,C,제조업,15,식료품 제조업,154,수산물 가공 및 저장 처리업,1548,수산동물 가공 및 저장 처리업,수산동물 건조 및 염장품 제조업
154805,C,제조업,15,식료품 제조업,154,동물성 및 식물성 유지 제조업,1548,동물성 및 식물성 유지 제조업,식물성 유지 제조업
154806,C,제조업,15,식료품 제조업,154,"곡물 가공품, 전분 및 전분제품 제조업",1548,곡물 가공품 제조업,곡물 제분업
154901,C,제조업,15,식료품 제조업,154,기타 식품 제조업,1549,기타 식료품 제조업,커피 가공업
154902,C,제조업,15,식료품 제조업,154,기타 식품 제조업,1549,기타 식료품 제조업,두부 및 유사 식품 제조업
154903,C,제조업,15,식료품 제조업,154,기타 식품 제조업,1549,기타 식료품 제조업,건강 보조용 액화식품 제조업
154904,C,제조업,15,식료품 제조업,154,수산물 가공 및 저장 처리업,1549,수산식물 가공 및 저장 처리업,수산식물 가공 및 저장 처리업
154905,C,제조업,15,식료품 제조업,154,기타 식품 제조업,1549,기타 식료품 제조업,차류 가공업
154906,C,제조업,15,식료품 제조업,154,기타 식품 제조업,1549,기타 식료품 제조업,인삼식품 제조업
154907,C,제조업,15,식료품 제조업,154,기타 식품 제조업,1549,기타 식료품 제조업,수프 및 균질화식품 제조업
154908,C,제조업,15,식료품 제조업,154,기타 식품 제조업,1549,기타 식료품 제조업,건강 기능식품 제조업
154909,C,제조업,15,식료품 제조업,154,기타 식품 제조업,1549,기타 식료품 제조업,그 외 기타 식료품 제조업
155101,C,제조업,15,음료 제조업,155,알코올 음료 제조업,1551,증류주 및 합성주 제조업,주정 제조업
155102,C,제조업,15,음료 제조업,155,알코올 음료 제조업,1551,증류주 및 합성주 제조업,소주 제조업
155103,C,제조업,15,음료 제조업,155,알코올 음료 제조업,1551,증류주 및 합성주 제조업,기타 증류주 및 합성주 제조업
155201,C,제조업,15,음료 제조업,155,알코올 음료 제조업,1552,발효주 제조업,탁주 및 약주 제조업
155202,C,제조업,15,음료 제조업,155,알코올 음료 제조업,1552,발효주 제조업,탁주 및 약주 제조업
155203,C,제조업,15,음료 제조업,155,알코올 음료 제조업,1552,발효주 제조업,기타 발효주 제조업
155300,C,제조업,15,음료 제조업,155,알코올 음료 제조업,1553,발효주 제조업,맥아 및 맥주 제조업
155401,C,제조업,15,음료 제조업,155,비알코올 음료 및 얼음 제조업,1554,비알코올 음료 및 얼음 제조업,기타 비알코올 음료 제조업
155402,C,제조업,15,음료 제조업,155,비알코올 음료 및 얼음 제조업,1554,비알코올 음료 및 얼음 제조업,기타 비알코올 음료 제조업
155403,C,제조업,15,음료 제조업,155,비알코올 음료 및 얼음 제조업,1554,비알코올 음료 및 얼음 제조업,생수 생산업
155404,C,제조업,15,음료 제조업,155,비알코올 음료 및 얼음 제조업,1554,비알코올 음료 및 얼음 제조업,얼음 제조업
160000,C,제조업,16,담배 제조업,160,담배 제조업,1600,담배 제조업,담배제품 제조업
171101,C,제조업,17,섬유제품 제조업; 의복 제외,171,방적 및 가공사 제조업,1711,방적 및 가공사 제조업,화학섬유 방적업
171102,C,제조업,17,섬유제품 제조업; 의복 제외,171,방적 및 가공사 제조업,1711,방적 및 가공사 제조업,면 방적업
171104,C,제조업,17,섬유제품 제조업; 의복 제외,171,방적 및 가공사 제조업,1711,방적 및 가공사 제조업,모 방적업
171105,C,제조업,17,섬유제품 제조업; 의복 제외,171,방적 및 가공사 제조업,1711,방적 및 가공사 제조업,연사 및 가공사 제조업
171106,C,제조업,17,섬유제품 제조업; 의복 제외,171,방적 및 가공사 제조업,1711,방적 및 가공사 제조업,화학섬유 방적업
171107,C,제조업,17,섬유제품 제조업; 의복 제외,171,방적 및 가공사 제조업,1711,방적 및 가공사 제조업,화학섬유 방적업
171108,C,제조업,17,섬유제품 제조업; 의복 제외,171,방적 및 가공사 제조업,1711,방적 및 가공사 제조업,화학섬유 방적업
171109,C,제조업,17,섬유제품 제조업; 의복 제외,171,직물 직조 및 직물제품 제조업,1711,직물 직조업,화학섬유직물 직조업
171110,C,제조업,17,섬유제품 제조업; 의복 제외,171,방적 및 가공사 제조업,1711,방적 및 가공사 제조업,기타 방적업
171112,C,제조업,17,섬유제품 제조업; 의복 제외,171,직물 직조 및 직물제품 제조업,1711,직물 직조업,모직물 직조업
171114,C,제조업,17,섬유제품 제조업; 의복 제외,171,방적 및 가공사 제조업,1711,방적 및 가공사 제조업,기타 방적업
171115,C,제조업,17,섬유제품 제조업; 의복 제외,171,직물 직조 및 직물제품 제조업,1711,직물 직조업,면직물 직조업
171116,C,제조업,17,섬유제품 제조업; 의복 제외,171,직물 직조 및 직물제품 제조업,1711,직물 직조업,특수직물 및 기타 직물 직조업
171200,C,제조업,17,섬유제품 제조업; 의복 제외,171,"섬유제품 염색, 정리 및 마무리 가공업",1712,"섬유제품 염색, 정리 및 마무리 가공업","직물, 편조 원단 및 의복류 염색 가공업"
171201,C,제조업,17,섬유제품 제조업; 의복 제외,171,"섬유제품 염색, 정리 및 마무리 가공업",1712,"섬유제품 염색, 정리 및 마무리 가공업",솜 및 실 염색 가공업
171202,C,제조업,17,섬유제품 제조업; 의복 제외,171,"섬유제품 염색, 정리 및 마무리 가공업",1712,"섬유제품 염색, 정리 및 마무리 가공업",날염 가공업
171203,C,제조업,17,섬유제품 제조업; 의복 제외,171,"섬유제품 염색, 정리 및 마무리 가공업",1712,"섬유제품 염색, 정리 및 마무리 가공업",섬유제품 기타 정리 및 마무리 가공업
172101,C,제조업,17,섬유제품 제조업; 의복 제외,172,직물 직조 및 직물제품 제조업,1721,직물제품 제조업,침구 및 관련제품 제조업
172102,C,제조업,17,섬유제품 제조업; 의복 제외,172,직물 직조 및 직물제품 제조업,1721,직물제품 제조업,자수제품 및 자수용 재료 제조업
172103,C,제조업,17,섬유제품 제조업; 의복 제외,172,직물 직조 및 직물제품 제조업,1721,직물제품 제조업,"천막, 텐트 및 유사 제품 제조업"
172106,C,제조업,17,섬유제품 제조업; 의복 제외,172,직물 직조 및 직물제품 제조업,1721,직물제품 제조업,커튼 및 유사 제품 제조업
172107,C,제조업,17,섬유제품 제조업; 의복 제외,172,직물 직조 및 직물제품 제조업,1721,직물제품 제조업,직물포대 제조업
172108,C,제조업,17,자동차 및 트레일러 제조업,172,자동차 신품 부품 제조업,1721,자동차용 기타 신품 부품 제조업,자동차용 신품 의자 제조업
172109,C,제조업,17,섬유제품 제조업; 의복 제외,172,직물 직조 및 직물제품 제조업,1721,직물제품 제조업,기타 직물제품 제조업
172111,C,제조업,17,섬유제품 제조업; 의복 제외,172,직물 직조 및 직물제품 제조업,1721,직물제품 제조업,기타 직물제품 제조업
172200,C,제조업,17,섬유제품 제조업; 의복 제외,172,기타 섬유제품 제조업,1722,"카펫, 마루덮개 및 유사 제품 제조업","카펫, 마루덮개 및 유사 제품 제조업"
172300,C,제조업,17,섬유제품 제조업; 의복 제외,172,기타 섬유제품 제조업,1723,"끈, 로프, 망 및 끈 가공품 제조업",어망 및 기타 끈 가공품 제조업
172301,C,제조업,17,섬유제품 제조업; 의복 제외,172,기타 섬유제품 제조업,1723,"끈, 로프, 망 및 끈 가공품 제조업",끈 및 로프 제조업
172901,C,제조업,17,섬유제품 제조업; 의복 제외,172,기타 섬유제품 제조업,1729,그 외 기타 섬유제품 제조업,세폭직물 제조업
172902,C,제조업,17,섬유제품 제조업; 의복 제외,172,기타 섬유제품 제조업,1729,그 외 기타 섬유제품 제조업,그 외 기타 분류 안된 섬유제품 제조업
172903,C,제조업,17,섬유제품 제조업; 의복 제외,172,기타 섬유제품 제조업,1729,그 외 기타 섬유제품 제조업,부직포 및 펠트 제조업
172904,C,제조업,17,섬유제품 제조업; 의복 제외,172,기타 섬유제품 제조업,1729,그 외 기타 섬유제품 제조업,특수사 및 코드직물 제조업
172905,C,제조업,17,섬유제품 제조업; 의복 제외,172,기타 섬유제품 제조업,1729,그 외 기타 섬유제품 제조업,표면처리 및 적층 직물 제조업
173001,C,제조업,17,"의복, 의복 액세서리 및 모피제품 제조업",173,편조의복 제조업,1730,편조의복 제조업,편조의복 제조업
173002,C,제조업,17,섬유제품 제조업; 의복 제외,173,편조 원단 제조업,1730,편조 원단 제조업,편조 원단 제조업
173004,C,제조업,17,"의복, 의복 액세서리 및 모피제품 제조업",173,의복 액세서리 제조업,1730,편조 의복 액세서리 제조업,스타킹 및 기타양말 제조업
173006,C,제조업,17,"의복, 의복 액세서리 및 모피제품 제조업",173,의복 액세서리 제조업,1730,편조 의복 액세서리 제조업,기타 편조 의복 액세서리 제조업
173009,C,제조업,17,"의복, 의복 액세서리 및 모피제품 제조업",173,의복 액세서리 제조업,1730,편조 의복 액세서리 제조업,기타 편조 의복 액세서리 제조업
181101,C,제조업,18,"의복, 의복 액세서리 및 모피제품 제조업",181,봉제의복 제조업,1811,겉옷 제조업,남자용 겉옷 제조업
181103,C,제조업,18,"의복, 의복 액세서리 및 모피제품 제조업",181,봉제의복 제조업,1811,한복 제조업,한복 제조업
181105,C,제조업,18,"의복, 의복 액세서리 및 모피제품 제조업",181,봉제의복 제조업,1811,겉옷 제조업,여자용 겉옷 제조업
181109,C,제조업,18,"의복, 의복 액세서리 및 모피제품 제조업",181,봉제의복 제조업,1811,기타 봉제의복 제조업,셔츠 및 블라우스 제조업
181110,C,제조업,18,"의복, 의복 액세서리 및 모피제품 제조업",181,봉제의복 제조업,1811,기타 봉제의복 제조업,"근무복, 작업복 및 유사 의복 제조업"
181201,C,제조업,18,"의복, 의복 액세서리 및 모피제품 제조업",181,봉제의복 제조업,1812,기타 봉제의복 제조업,가죽의복 제조업
181202,C,제조업,18,"의복, 의복 액세서리 및 모피제품 제조업",181,의복 액세서리 제조업,1812,기타 의복 액세서리 제조업,모자 제조업
181203,C,제조업,18,"의복, 의복 액세서리 및 모피제품 제조업",181,봉제의복 제조업,1812,속옷 및 잠옷 제조업,속옷 및 잠옷 제조업
181204,C,제조업,18,"의복, 의복 액세서리 및 모피제품 제조업",181,의복 액세서리 제조업,1812,기타 의복 액세서리 제조업,그 외 기타 의복 액세서리 제조업
181205,C,제조업,18,"의복, 의복 액세서리 및 모피제품 제조업",181,봉제의복 제조업,1812,겉옷 제조업,남자용 겉옷 제조업
181206,C,제조업,18,"의복, 의복 액세서리 및 모피제품 제조업",181,봉제의복 제조업,1812,겉옷 제조업,여자용 겉옷 제조업
181207,C,제조업,18,"의복, 의복 액세서리 및 모피제품 제조업",181,봉제의복 제조업,1812,기타 봉제의복 제조업,"근무복, 작업복 및 유사 의복 제조업"
181208,C,제조업,18,"의복, 의복 액세서리 및 모피제품 제조업",181,봉제의복 제조업,1812,기타 봉제의복 제조업,유아용 의복 제조업
181209,C,제조업,18,"의복, 의복 액세서리 및 모피제품 제조업",181,봉제의복 제조업,1812,한복 제조업,한복 제조업
181211,C,제조업,18,"의복, 의복 액세서리 및 모피제품 제조업",181,봉제의복 제조업,1812,기타 봉제의복 제조업,그 외 기타 봉제의복 제조업
182001,C,제조업,18,"의복, 의복 액세서리 및 모피제품 제조업",182,모피제품 제조업,1820,모피제품 제조업,모피제품 제조업
191100,C,제조업,19,"가죽, 가방 및 신발 제조업",191,"가죽, 가방 및 유사 제품 제조업",1911,모피 및 가죽 제조업,모피 및 가죽 제조업
191200,C,제조업,19,"가죽, 가방 및 신발 제조업",191,"가죽, 가방 및 유사 제품 제조업",1912,"핸드백, 가방 및 기타 보호용 케이스 제조업",가방 및 기타 보호용 케이스 제조업
191201,C,제조업,19,"가죽, 가방 및 신발 제조업",191,"가죽, 가방 및 유사 제품 제조업",1912,기타 가죽제품 제조업,기타 가죽제품 제조업
191202,C,제조업,19,"가죽, 가방 및 신발 제조업",191,"가죽, 가방 및 유사 제품 제조업",1912,"핸드백, 가방 및 기타 보호용 케이스 제조업",핸드백 및 지갑 제조업
192001,C,제조업,19,"가죽, 가방 및 신발 제조업",192,신발 및 신발 부분품 제조업,1920,신발 제조업,구두류 제조업
192004,C,제조업,19,"가죽, 가방 및 신발 제조업",192,신발 및 신발 부분품 제조업,1920,신발 제조업,기타 신발 제조업
192005,C,제조업,19,"가죽, 가방 및 신발 제조업",192,신발 및 신발 부분품 제조업,1920,신발 부분품 제조업,신발 부분품 제조업
193001,C,제조업,19,섬유제품 제조업; 의복 제외,193,직물 직조 및 직물제품 제조업,1930,직물 직조업,특수직물 및 기타 직물 직조업
193001,C,제조업,19,섬유제품 제조업; 의복 제외,193,방적 및 가공사 제조업,1930,방적 및 가공사 제조업,연사 및 가공사 제조업
193001,C,제조업,19,섬유제품 제조업; 의복 제외,193,기타 섬유제품 제조업,1930,그 외 기타 섬유제품 제조업,그 외 기타 분류 안된 섬유제품 제조업
